,RPI,Team,wins,losses,SOS,Rank,Opp Win Percent,opp_wins,opp_losses
161,162,Kennesaw State,25.0,29.0,0.51,121,0.5145,1509.0,1424.0
45,46,Kent State,40.0,16.0,0.4877,181,0.4921,1409.0,1454.0
1,2,Kentucky,36.0,18.0,0.6047,1,0.6296,1858.0,1093.0
4,5,LSU,43.0,15.0,0.5794,13,0.5924,1832.0,1260.0
251,252,Lafayette,15.0,37.0,0.4795,200,0.487,1192.0,1256.0
125,126,Lamar,32.0,23.0,0.487,185,0.4898,1374.0,1431.0
249,250,Lehigh,23.0,26.0,0.4383,284,0.433,1028.0,1347.0
95,96,Liberty,27.0,31.0,0.5394,50,0.5617,1752.0,1367.0
283,284,Lindenwood,12.0,40.0,0.476,210,0.4845,1299.0,1382.0
89,90,Lipscomb,36.0,24.0,0.5001,146,0.4967,1588.0,1609.0
167,168,Little Rock,31.0,23.0,0.4655,237,0.4653,1273.0,1463.0
87,88,Long Beach State,33.0,22.0,0.512,113,0.5114,1451.0,1386.0
282,283,Long Island,19.0,36.0,0.4312,292,0.424,1167.0,1586.0
229,230,Longwood,23.0,31.0,0.4728,215,0.4733,1332.0,1482.0
46,47,Louisiana,40.0,22.0,0.5319,67,0.5382,1742.0,1495.0
127,128,Louisiana Tech,28.0,31.0,0.5251,79,0.5304,1660.0,1470.0
42,43,Louisville,31.0,24.0,0.5694,18,0.5855,1720.0,1217.0
109,110,Loyola-Marymount,29.0,24.0,0.5029,137,0.506,1341.0,1309.0
123,124,Maine,31.0,19.0,0.4596,249,0.458,1108.0,1312.0
256,257,Manhattan,22.0,34.0,0.4433,279,0.4377,1201.0,1544.0
269,270,Marist,16.0,36.0,0.4541,257,0.4483,1168.0,1439.0
222,223,Marshall,16.0,37.0,0.5218,88,0.5316,1494.0,1316.0
34,35,Maryland,41.0,19.0,0.5333,61,0.5458,1693.0,1408.0
286,287,Maryland Eastern Shore,18.0,37.0,0.4347,290,0.4372,1185.0,1526.0
