,Team,SOS,Rank,Opp Record,Opp Win Percent
127,VCU,0.5059,128,1512-1457,0.5093
128,Washington State,0.5058,129,1386-1366,0.5036
129,Lafayette,0.5056,130,1233-1124,0.5231
130,Kennesaw State,0.5053,131,1502-1445,0.5097
131,Middle Tennessee,0.5041,132,1501-1422,0.5135
132,Southeastern Louisiana,0.504,133,1494-1407,0.515
133,Valparaiso,0.5039,134,1386-1345,0.5075
134,Belmont,0.5037,135,1564-1497,0.5109
135,UTA,0.5029,136,1518-1465,0.5089
136,Portland,0.5026,137,1438-1419,0.5033
137,Texas A&M-Corpus Christi,0.5019,138,1472-1434,0.5065
138,VMI,0.5015,139,1424-1374,0.5089
139,William & Mary,0.5014,140,1501-1473,0.5047
140,San Jose State,0.501,141,1426-1352,0.5133
141,Minnesota,0.5006,142,1192-1215,0.4952
142,Grand Canyon,0.4999,143,1535-1504,0.5051
143,Monmouth,0.4998,144,1230-1243,0.4974
144,Creighton,0.4998,145,1350-1333,0.5032
145,UC Riverside,0.4997,146,1344-1318,0.5049
146,Stony Brook,0.4991,147,1338-1339,0.4998
147,Cal Poly,0.499,148,1442-1475,0.4944
148,Memphis,0.4989,149,1461-1472,0.4981
149,The Citadel,0.4987,150,1360-1341,0.5035
150,Delaware,0.4978,151,1446-1439,0.5012
151,FAU,0.4972,152,1461-1533,0.488
152,Arkansas State,0.4972,153,1420-1431,0.4981
153,Murray State,0.4969,154,1498-1511,0.4978
154,FGCU,0.4968,155,1495-1494,0.5002
155,Seton Hall,0.4968,156,1369-1412,0.4923
156,Princeton,0.4967,157,1019-937,0.521
157,UC Davis,0.4956,158,1438-1447,0.4984
158,UTSA,0.4955,159,1474-1538,0.4894
159,Gardner-Webb,0.4955,160,1368-1363,0.5009
160,Western Kentucky,0.4947,161,1492-1550,0.4905
161,UIC,0.4947,162,1379-1397,0.4968
162,High Point,0.4946,163,1493-1547,0.4911
163,Cal State Bakersfield,0.4945,164,1355-1373,0.4967
164,Radford,0.4938,165,1279-1302,0.4956
165,North Carolina A&T,0.4937,166,1356-1388,0.4942
166,Bradley,0.4927,167,1316-1322,0.4989
167,George Mason,0.4927,168,1365-1360,0.5009
168,Pepperdine,0.4919,169,1346-1383,0.4932
169,Pacific,0.4911,170,1400-1412,0.4979
170,Long Beach State,0.4907,171,1377-1451,0.4869
171,Villanova,0.4902,172,1261-1332,0.4863
172,UC San Diego,0.4901,173,1314-1412,0.482
173,Santa Clara,0.4898,174,1303-1376,0.4864
174,Queens,0.4885,175,1432-1443,0.4981
175,Incarnate Word,0.4879,176,1436-1488,0.4911
176,UNC Asheville,0.4878,177,1265-1322,0.489
177,UAB,0.4876,178,1397-1535,0.4765
178,Winthrop,0.4874,179,1237-1306,0.4864
179,Richmond,0.4868,180,1460-1500,0.4933
180,Saint Joseph's,0.4863,181,1339-1390,0.4907
181,Houston Christian,0.4858,182,1243-1328,0.4835
182,Saint Mary's College,0.4856,183,1380-1478,0.4829
183,Lipscomb,0.4852,184,1419-1535,0.4804
184,Illinois State,0.4842,185,1429-1501,0.4877
185,Utah Valley,0.4832,186,1386-1475,0.4844
186,Western Illinois,0.4827,187,1303-1333,0.4943
187,Loyola-Marymount,0.4827,188,1323-1406,0.4848
188,Utah Tech,0.4826,189,1429-1527,0.4834
189,Jacksonville,0.4819,190,1471-1607,0.478
190,Army,0.4814,191,1172-1260,0.482
191,Southeast Missouri,0.4811,192,1516-1578,0.49
192,Miami (OH),0.4811,193,1341-1453,0.48
