,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
29,29,Louisiana Tech  Conference USA (18-6),45-17,82,23-9,36,55,26-5,12-10,7-2,3-6,9-4,15-6,18-1,-3
30,30,Florida  SEC (13-17),28-27,1,15-9,44,21,19-13,9-12,0-2,13-18,2-6,1-1,12-2,-6
31,31,Arizona  Pac-12 (20-10),36-21,31,13-10,28,1,19-7,13-11,4-3,3-9,15-5,7-6,11-1,-3
32,32,UCF  Big 12 (14-15),35-19,41,19-3,25,149,21-9,12-9,2-1,4-8,9-5,12-4,10-2,+10
33,33,Ole Miss  SEC (11-19),27-29,2,16-9,42,28,19-12,7-15,1-2,12-22,2-2,1-2,12-3,-1
34,34,UNCW  Coastal Athletic (20-7),39-19,56,16-12,75,51,22-9,13-10,4-0,5-5,7-5,11-4,16-5,+14
35,35,Northeastern  Coastal Athletic (18-9),38-17,108,20-6,13,64,17-3,19-12,2-2,4-4,8-5,9-7,17-1,-6
36,36,Coastal Carolina  Sun Belt (16-14),34-23,22,17-7,11,3,24-9,9-12,1-2,4-9,7-7,16-6,7-1,-1
37,37,West Virginia  Big 12 (19-11),33-22,43,14-9,60,134,17-6,14-14,2-2,5-8,13-8,6-5,9-1,-4
38,38,Louisiana  Sun Belt (23-7),40-18,64,17-9,76,83,26-8,14-5,0-5,6-6,6-4,12-4,16-4,-2
39,39,TCU  Big 12 (14-16),33-21,32,17-3,14,88,21-8,7-11,5-2,5-8,8-9,6-3,14-1,+1
40,40,Xavier  Big East (12-9),30-27,19,17-16,30,2,13-9,16-15,1-3,7-12,2-3,15-9,6-3,-2
41,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
42,41,Connecticut  Big East (17-4),32-23,47,15-17,61,26,16-5,15-15,1-3,5-8,5-9,13-6,9-0,-4
43,42,Maryland  Big Ten (10-14),34-22,63,24-8,12,52,14-7,19-14,1-1,7-5,8-6,9-10,10-1,+7
44,43,Charleston  Coastal Athletic (21-5),41-14,112,18-7,87,179,24-9,15-3,2-2,3-4,6-6,11-0,21-4,+7
45,44,James Madison  Sun Belt (17-13),34-23,42,15-8,22,5,23-6,9-15,2-2,7-8,4-9,8-1,15-5,
46,45,Kansas State  Big 12 (15-15),32-24,30,16-7,38,79,20-7,9-14,3-3,7-15,6-5,7-2,12-2,-4
47,46,Texas  Big 12 (20-10),35-22,29,15-10,89,30,24-12,11-5,0-5,12-9,5-4,5-1,13-8,-7
48,47,Illinois  Big Ten (18-6),34-19,74,15-11,84,99,20-3,8-10,6-6,4-10,5-2,9-4,16-3,-4
49,48,Georgia Tech  ACC (15-15),31-23,23,16-6,80,202,22-9,9-11,0-3,10-14,4-3,6-5,11-1,-2
50,49,Auburn  SEC (8-22),27-26,4,19-4,21,50,18-13,5-12,4-1,6-20,8-4,4-0,9-2,-4
51,50,Wofford  Southern (12-8),40-18,120,23-9,57,223,22-5,13-12,5-1,1-3,5-2,14-11,20-2,+7
52,51,Saint John's  Big East (14-7),37-16-1,123,20-9-1,82,201,21-6-1,12-10,4-0,5-4-0,5-4-0,9-4-0,18-4-1,+12
53,52,Oregon  Pac-12 (19-11),37-18,87,18-5,49,169,23-8,12-7,2-3,5-4,6-4,12-9,14-1,-5
54,53,East Tennessee State  Southern (13-8),36-20,94,21-10,70,157,24-5,10-13,2-2,1-4,8-11,4-3,23-2,-2
55,54,Georgia Southern  Sun Belt (17-13),33-26,35,13-12,69,18,18-12,12-12,3-2,2-9,11-14,9-3,11-0,+14
56,55,Indiana  Big Ten (15-9),32-24-1,39,15-13-1,103,67,17-11,11-8,4-5-1,6-10-0,6-4-0,12-6-1,8-4-0,+5
57,56,Troy  Sun Belt (18-12),37-22,88,18-8,81,219,19-9,17-10,1-3,6-6,8-8,7-5,16-3,-3
58,57,Portland  West Coast (19-5),37-19,137,16-12,68,109,17-5,18-11,2-3,3-6,3-6,12-7,19-0,+7
